state,name,geoid,lat,long
AL,Abanda CDP,0100100,33.091627,-85.527029
AL,Abbeville city,0100124,31.564706,-85.259121
AL,Adamsville city,0100460,33.602315,-86.971527
AL,Addison town,0100484,34.202681,-87.178004
AL,Akron town,0100676,32.879066,-87.740899
AL,Alabaster city,0100820,33.214355,-86.82308
AL,Albertville city,0100988,34.26313,-86.21066
AL,Alexander City city,0101132,32.916719,-85.940589
AL,Alexandria CDP,0101180,33.760819,-85.872008
AL,Aliceville city,0101228,33.123706,-88.159344
AL,Allgood town,0101396,33.907623,-86.516109
AL,Altoona town,0101660,34.040014,-86.305179
AL,Andalusia city,0101708,31.309436,-86.478031
AL,Anderson town,0101756,34.915675,-87.274274
AL,Anniston city,0101852,33.673469,-85.810891
AL,Arab city,0102116,34.332387,-86.501167
AL,Ardmore town,0102260,34.987838,-86.829022
AL,Argo city,0102320,33.691018,-86.505281
AL,Ariton town,0102428,31.597772,-85.713061
AL,Arley town,0102500,34.076234,-87.217831
AL,Ashford city,0102836,31.185284,-85.236236
AL,Ashland town,0102860,33.269892,-85.833706
AL,Ashville city,0102908,33.835197,-86.270015
AL,Athens city,0102956,34.779021,-86.950799
AL,Atmore city,0103004,31.124067,-87.457798
AL,Attalla city,0103028,33.986189,-86.121037
AL,Auburn city,0103076,32.607806,-85.494746
AL,Autaugaville town,0103220,32.432563,-86.658752
AL,Avon town,0103364,31.179727,-85.279211
AL,Axis CDP,0103508,30.922171,-88.02262
AL,Babbie town,0103556,31.302083,-86.319437
AL,Baileyton town,0103676,34.260858,-86.608788
AL,Bakerhill town,0103724,31.776923,-85.295408
AL,Ballplay CDP,0103820,34.023047,-85.801478
AL,Banks town,0103940,31.813264,-85.836434
AL,Bay Minette city,0104660,30.894436,-87.791306
AL,Bayou La Batre city,0104684,30.407586,-88.263271
AL,Bear Creek town,0104852,34.255481,-87.713399
AL,Beatrice town,0104900,31.733309,-87.209046
AL,Beaverton town,0104948,33.935411,-88.021778
AL,Belgreen CDP,0105140,34.47454,-87.861678
AL,Belk town,0105164,33.651641,-87.92861
AL,Bellamy CDP,0105188,32.463658,-88.131481
AL,Belle Fontaine CDP,0105212,30.489492,-88.10594
AL,Benton town,0105692,32.307931,-86.817546
AL,Berlin town,0105812,34.185005,-86.748955
AL,Berry town,0105932,33.666702,-87.609311
AL,Bessemer city,0105980,33.370858,-86.971522
AL,Billingsley town,0106460,32.664711,-86.706713
AL,Birmingham city,0107000,33.527174,-86.797036
AL,Black town,0107120,31.00977,-85.74442
AL,Blountsville town,0107456,34.075838,-86.583918
AL,Blue Ridge CDP,0107588,32.4989,-86.182436
AL,Blue Springs town,0107672,31.663516,-85.503526
AL,Boaz city,0107912,34.19902,-86.155151
AL,Boligee town,0108104,32.768081,-88.02859
AL,Bon Air town,0108248,33.259355,-86.327175
AL,Bon Secour CDP,0108272,30.318246,-87.72439
AL,Boykin CDP,0108680,32.068375,-87.294343
AL,Brantley town,0109016,31.581992,-86.256784
AL,Brantleyville CDP,0109064,33.219303,-86.882522
AL,Brent city,0109136,32.944893,-87.172088
AL,Brewton city,0109208,31.109175,-87.076583
AL,Bridgeport city,0109328,34.949312,-85.723765
AL,Brighton city,0109400,33.439551,-86.945404
AL,Brilliant town,0109424,34.025671,-87.769047
AL,Bristow Cove CDP,0109457,34.109216,-86.240993
AL,Brook Highland CDP,0109500,33.438035,-86.685262
AL,Brookside town,0109736,33.634617,-86.906314
AL,Brookwood town,0109808,33.239842,-87.331488
AL,Broomtown CDP,0109880,34.365728,-85.532112
AL,Brundidge city,0110240,31.717639,-85.81755
AL,Bucks CDP,0110456,31.016881,-88.026385
AL,Butler town,0111032,32.096479,-88.210781
AL,Calera city,0111416,33.122319,-86.745644
AL,Calvert CDP,0111488,31.149898,-88.021549
AL,Camden city,0111512,31.998493,-87.28895
AL,Camp Hill town,0111680,32.797327,-85.655833
AL,Carbon Hill city,0112016,33.894991,-87.522078
AL,Cardiff town,0112040,33.64729,-86.930637
AL,Carlisle-Rockledge CDP,0112070,34.114451,-86.124073
